"apcp_sf1_1","apcp_sf2_1","apcp_sf3_1","apcp_sf4_1","apcp_sf5_1","dlwrf_s1_1","dlwrf_s2_1","dlwrf_s3_1","dlwrf_s4_1","dlwrf_s5_1","dswrf_s1_1","dswrf_s2_1","dswrf_s3_1","dswrf_s4_1","dswrf_s5_1","pres_ms1_1","pres_ms2_1","pres_ms3_1","pres_ms4_1","pres_ms5_1","pwat_ea1_1","pwat_ea2_1","pwat_ea3_1","pwat_ea4_1","pwat_ea5_1","spfh_2m1_1","spfh_2m2_1","spfh_2m3_1","spfh_2m4_1","spfh_2m5_1","tcdc_ea1_1","tcdc_ea2_1","tcdc_ea3_1","tcdc_ea4_1","tcdc_ea5_1","tcolc_e1_1","tcolc_e2_1","tcolc_e3_1","tcolc_e4_1","tcolc_e5_1","tmax_2m1_1","tmax_2m2_1","tmax_2m3_1","tmax_2m4_1","tmax_2m5_1","tmin_2m1_1","tmin_2m2_1","tmin_2m3_1","tmin_2m4_1","tmin_2m5_1","tmp_2m_1_1","tmp_2m_2_1","tmp_2m_3_1","tmp_2m_4_1","tmp_2m_5_1","tmp_sfc1_1","tmp_sfc2_1","tmp_sfc3_1","tmp_sfc4_1","tmp_sfc5_1","ulwrf_s1_1","ulwrf_s2_1","ulwrf_s3_1","ulwrf_s4_1","ulwrf_s5_1","ulwrf_t1_1","ulwrf_t2_1","ulwrf_t3_1","ulwrf_t4_1","ulwrf_t5_1","uswrf_s1_1","uswrf_s2_1","uswrf_s3_1","uswrf_s4_1","uswrf_s5_1","salida"
"red","low","low",0,NA,"medium",244.241640957919,"low","low",268.37744140625,0,30,NA,510,"blue","medium","medium","medium","medium",101988.003551136,5.87919287248091,7.01818184419112,"red",9.41818193955855,9.72786920720881,0.00322901085019112,0.00299274548888206,NA,0.00386963852427222,"low",0,"low","low",0,0.000909090888771144,"low",0.000263636360945053,"low","low","low","medium",279.627444180575,"medium",286.881680575284,"medium","medium","medium","medium",285.799685391513,"medium","medium",0,"medium","medium","medium",277.278370250355,NA,NA,"medium",278.500077681108,0,"blue","medium","medium","medium",222.153166337447,"high",254.760270552202,"high","high",NA,"low",50,"low","low",11930700
"red","low","low",0.00818181850693443,0.199999999593605,"medium",255.824125810103,"medium","medium",307.929082697088,0,30,NA,333.636363636364,"red","medium","medium","medium","medium",101424.626420455,12.5343388644132,11.9873163049871,NA,NA,13.4697293368253,0.00373727275820618,0.00393069698475301,NA,NA,"low",0.0372727264396169,"low","low",0.0845454548570243,0.109090908007188,"low",0.0213090912438929,"low","low","low","medium",278.063379461115,"medium",286.606683904474,"medium","medium","medium","medium",283.687008944425,"medium","medium",0,"medium","medium","medium",275.830008766868,278.269459117543,287.048969615589,"medium",281.005251797763,0,"blue","medium","medium","medium",236.836690729315,"medium",233.027275779031,"medium","medium",0,"low",35.9090909090909,"low","low",9778500
"red","low","low",0,NA,"low",211.996021617543,"low","low",239.84013227983,0,30,NA,523.636363636364,"blue","medium","medium","medium","medium",101543.146306818,5.72677001086148,5.45852834528143,"red",7.16363633762706,NA,0.00200284011027014,0.0019186324947937,NA,0.0024311372121288,"low",0,"low","low",0.00727272711016915,0.0427272729575634,"low",0.00158181815376421,"low","low","low","medium",270.222511985085,"low",279.049513383345,"medium","medium","medium","medium",276.04179243608,"medium","medium",0,"low","medium","medium",269.533058860085,271.690992875533,281.759993119673,"medium",273.615503484553,0,NA,"low","low","low",238.655653520064,"medium",235.480750344016,"medium","medium",0,"low",NA,"low","low",9771900
"red","low","low",0,NA,"medium",230.896544022994,"low","low",237.804048018022,0,30,NA,512.727272727273,"blue","medium","medium","medium","high",102598.252840909,7.88990419561213,6.7689586986195,"red",5.97726739536632,6.41183792461048,0.00291778534566137,0.00273496494628489,0.00277056532319297,0.0028210770000111,"low",0,"low","low",0.000909090888771144,0.0127272726121274,"low",0.00401818175040799,"low","low","low","medium",276.176918723366,"medium",278.550367875533,"medium","medium","medium","medium",276.942990389737,"low","medium",0,"medium","medium","low",274.824765292081,NA,281.291417902166,"medium",272.191753040661,0,"blue","low","low","low",236.784869107333,"medium",243.398572054776,"medium","medium",0,"low",46,"low","low",6466800
"red","low","low",0,NA,"low",238.927050503817,"low","low",275.572826038707,NA,30,220,517.272727272727,NA,"medium","medium","medium","low",100309.059659091,10.783447785811,10.4255420511419,"red",8.82951107892123,9.64761491255327,0.00327419896017421,0.00326915095898915,NA,0.00348297239873897,"low",0.000909090888771144,"low","low",0.0145454542203383,0.0509090902791782,"low",0.00183636360650946,"low","low","low","medium",275.018022017045,"medium",288.171156449751,"medium","medium","medium","medium",283.734818892045,"medium","medium",0,"medium","medium","medium",272.260425914418,275.132668235085,285.698724920099,"medium",283.121390602805,0,"blue","medium","medium","medium",233.641680630771,"medium",239.95280456543,"medium","medium",NA,"low",48.9090909090909,"low","low",11545200
"red","low","low",0,NA,"medium",251.953568892045,"low","low",255.19753889604,0,30,NA,515.454545454545,"blue","low","low","low","medium",101556.324573864,5.92556715011597,7.66212853518399,"red",9.75020217895508,9.25773698633367,0.00250545453110879,0.00298364297486842,NA,0.00362560919231989,"low",0,"low","low",0.00272727266631343,0.00545454533262686,"low",0.00774545455351472,"low","low","low","medium",282.375405051491,"medium",281.359153053977,"medium","medium","medium","medium",280.64497236772,"medium","medium",0,"medium","medium","medium",280.143737792969,279.861092307351,285.318129106001,"medium",275.796525435014,0,"blue","medium","medium","medium",264.658605402166,"high",255.299868496982,"medium","medium",0,"low",48.9090909090909,"low","low",6817200
"red","low","low",0,0,"medium",198.362494728782,"low","low",207.872435136275,0,30,NA,540,"blue","high","high","high","high",103006.194602273,5.20956867391413,4.45501184463501,"red",NA,3.63884802298112,0.000991562106223269,0.000814545449843122,NA,NA,"low",0.00818181850693443,"low","low",0,0,"low",0.000336363632496531,"low","low","low","low",265.792264071378,"low",272.66152121804,"low","low","low","low",270.055206298828,"low","low",0,"low","low","low",266.222032026811,267.415310946378,276.24077536843,"low",266.014637340199,0,"red","low","low","low",195.372399070046,"medium",226.633338234641,"medium","medium",0,"low",53.9090909090909,"low","low",12418800
"red","low","low",0,NA,"low",213.089530251243,"low","low",235.218131325462,0,30,NA,539.090909090909,NA,"medium","medium","medium","high",102589.954545455,5.73654400218617,5.65060346776789,NA,6.21576179157604,6.36863483082164,0.00100669741037894,0.00117278264158151,NA,0.0020426390057599,"low",0,"low","low",0,0,"low",0.000327272732234137,"low","low","low","low",270.078546697443,"medium",279.778750332919,"medium","medium","medium","medium",276.855993097479,"low","medium",0,"medium","medium","low",266.976598566229,270.889176802202,282.098194469105,"medium",270.427953546697,0,"red","low","low","low",222.891208995472,"medium",227.89208984375,"medium","medium",0,"low",51.3636363636364,"low","low",12375600
"red","low","low",0,NA,"low",225.191933371804,"low","low",273.152726606889,0,30,NA,498.181818181818,NA,"medium","medium","medium","medium",101888.352272727,6.06262163682417,6.19494169408625,NA,9.22891980951483,12.2527930519798,0.00234234752133489,0.00236727269789712,NA,0.00385727274062281,"low",0.0145454542203383,"low","low",0.0218181813305075,0.151818181642077,"low",0.0112181818112731,"low","low","low","medium",272.4641085538,"medium",282.670673717152,"medium","medium","medium","medium",279.642181396484,"medium","medium",0,"medium","medium","medium",269.810322154652,272.990065141158,283.213095925071,"medium",279.172662908381,0,"red","low","low","medium",228.572856556286,"medium",219.150461370295,"medium","medium",0,"low",47.4545454545455,"low","low",11601000
"red","low","low",0.425454540686174,NA,"high",339.423542369496,"medium","medium",343.97650978782,NA,2.72727272727273,NA,139.090909090909,"red","medium","medium","medium","medium",101901.692471591,15.8420489051125,16.1802074258978,"red",15.6808655478738,15.1001074530862,0.00542272728952495,0.00604909095405178,NA,0.00722818178209391,"low",0.380000003359535,"low","low",0.172727277163755,0.0818181810053912,"low",0.267645453864878,"low","low","low","medium",280.530231822621,"medium",285.790585604581,"medium","medium","medium","medium",284.177434747869,"medium","medium",0,"medium","medium","medium",279.29169810902,280.495538884943,284.891823508523,"medium",280.087685324929,NA,"blue","medium","medium","medium",227.559363625266,"medium",231.927173961293,"medium","medium",0,"low",10.5454545454545,"low","low",3935700
