ca,datosECVmas16.prov,nomprov,gen,edad,nac,neduc,sitlab,ingnorm,horas,factorel
2,22,"Huesca",1,3,1,3,1,21237.1,36.42,393.7
2,22,"Huesca",2,2,1,2,1,17810.8,31.72,393.7
2,22,"Huesca",1,1,1,2,1,11889.1,31.88,393.7
2,22,"Huesca",1,1,1,2,1,16000.5,38.18,393.7
2,22,"Huesca",1,1,1,2,3,21169.6,0,393.7
2,22,"Huesca",1,2,1,2,1,16001.3,34.52,895.2
2,22,"Huesca",2,2,1,1,3,2279.5,0,895.2
2,22,"Huesca",2,4,1,1,3,11969.3,0,979.9
2,22,"Huesca",1,4,1,1,3,15341.9,0,1068.4
2,22,"Huesca",2,4,1,1,3,4744.4,0,1068.4
2,22,"Huesca",2,4,1,1,3,2459.4,0,723.4
2,22,"Huesca",2,2,1,2,3,4158.8,0,723.4
2,22,"Huesca",1,2,1,2,1,4888.7,33.33,723.4
2,22,"Huesca",2,3,1,2,1,12335,33.34,421.8
2,22,"Huesca",1,4,1,1,3,15026.5,0,666.6
2,22,"Huesca",1,4,1,1,3,6197.8,0,320.5
2,22,"Huesca",1,3,1,1,3,4539.2,0,1416.4
2,22,"Huesca",2,3,1,1,3,6459.2,0,1416.4
2,22,"Huesca",1,2,1,1,1,7459.9,33.26,504.9
2,22,"Huesca",2,2,1,2,1,10388.9,33.47,504.9
2,22,"Huesca",1,4,1,1,3,10285.9,0,547.6
2,22,"Huesca",2,4,1,1,3,19127.1,0,547.6
2,22,"Huesca",1,2,1,3,1,18950.8,35.08,826.1
2,22,"Huesca",1,4,1,1,3,5458.6,0,582
2,22,"Huesca",2,4,1,1,3,2747.1,0,582
2,22,"Huesca",1,3,1,1,1,11999.9,30.26,1071.2
2,22,"Huesca",2,2,1,2,3,7013.3,0,1071.2
2,22,"Huesca",1,1,1,2,1,11264.7,31.93,1071.2
2,22,"Huesca",1,4,1,1,3,6483.8,0,2222
2,22,"Huesca",2,4,1,1,3,3581.6,0,2222
2,22,"Huesca",1,2,1,2,1,11207.3,37.67,865.7
2,22,"Huesca",2,2,1,2,1,8733.9,31.88,865.7
2,22,"Huesca",1,2,1,2,1,17268.7,31.7,3871.4
2,22,"Huesca",2,2,1,2,1,7418.2,32.37,3871.4
2,22,"Huesca",1,2,1,2,1,2996.9,32.81,930.7
2,22,"Huesca",2,2,1,2,1,8984.9,32.89,930.7
2,22,"Huesca",2,1,1,2,3,11599.9,0,930.7
2,22,"Huesca",2,4,1,1,3,7634.2,0,1234.9
2,22,"Huesca",1,1,1,2,1,13413.2,29.08,930.7
2,22,"Huesca",1,2,1,1,1,8802.2,31.01,1078.4
2,22,"Huesca",1,4,1,2,3,21362.3,0,1301
2,22,"Huesca",2,4,1,1,3,6630.6,0,1301
2,22,"Huesca",1,2,1,2,1,5786.4,31.52,771
2,22,"Huesca",2,2,1,2,1,17684.8,33.77,771
2,22,"Huesca",2,1,1,2,3,8045.8,0,771
2,22,"Huesca",1,1,1,2,1,4559.4,32.16,771
2,22,"Huesca",1,4,1,1,3,-553,0,544.5
2,22,"Huesca",1,3,1,3,1,8798.1,32.15,918.8
2,22,"Huesca",2,3,1,1,3,10332.5,0,918.8
2,22,"Huesca",1,2,1,1,1,11391.6,32.91,1853.3
2,22,"Huesca",2,2,1,1,1,15194.5,38.32,1853.3
2,22,"Huesca",2,1,1,2,3,29097.4,0,1911.9
2,22,"Huesca",1,1,1,2,1,11230.7,32.68,1911.9
2,22,"Huesca",2,4,1,1,3,10994.3,0,1643.1
2,22,"Huesca",1,4,1,1,3,1379.7,0,1005.2
2,22,"Huesca",2,4,1,1,3,4309.1,0,1005.2
2,22,"Huesca",1,3,1,2,1,15853.6,35.03,464.7
2,22,"Huesca",2,2,1,2,1,8450.3,34.81,464.7
2,22,"Huesca",1,4,1,2,3,17724.7,0,381.7
2,22,"Huesca",2,3,1,1,3,8900.1,0,381.7
2,22,"Huesca",1,2,1,1,1,5516.7,26.7,401.2
2,22,"Huesca",2,2,1,1,3,6184.4,0,401.2
2,22,"Huesca",2,2,1,3,1,6564.1,35.53,1363.8
2,22,"Huesca",1,4,1,1,3,3144.8,0,704.5
2,22,"Huesca",2,4,1,2,3,4439.6,0,704.5
2,22,"Huesca",1,4,1,1,3,4858.1,0,1381.8
2,22,"Huesca",1,2,1,2,1,7219.9,28.63,188.9
2,22,"Huesca",1,4,2,2,3,35107.6,0,188.9
2,22,"Huesca",2,2,2,2,1,22508.6,27.92,188.9
2,22,"Huesca",1,2,1,2,1,20146.3,37.67,188.9
2,22,"Huesca",2,1,1,2,1,9680.6,33.62,188.9
2,22,"Huesca",2,2,1,2,1,5755.5,33.68,702.3
2,22,"Huesca",1,2,1,2,1,20587.1,34.51,702.3
2,22,"Huesca",2,4,1,1,3,38.9,0,1368.1
2,22,"Huesca",2,2,1,3,1,8888.5,37.43,1014.5
2,22,"Huesca",1,2,1,2,1,14225.9,34.77,1014.5
2,22,"Huesca",2,4,1,1,3,16028.7,0,1203.3
2,22,"Huesca",2,4,1,1,3,8532.2,0,1203.3
2,22,"Huesca",1,4,1,1,3,7039.7,0,1203.3
2,22,"Huesca",2,4,1,1,3,5682.4,0,1368.1
2,22,"Huesca",1,4,1,2,3,2150.1,0,1444.2
2,22,"Huesca",2,4,1,2,3,14430.5,0,1444.2
2,22,"Huesca",2,4,1,1,3,16014.1,0,1349.6
2,22,"Huesca",1,2,1,2,1,16339.9,37.29,436.6
2,22,"Huesca",2,2,2,3,1,24819.1,35.64,436.6
2,22,"Huesca",1,2,1,2,1,7212.8,31.94,952.4
2,22,"Huesca",2,2,2,2,1,4717.8,36.92,952.4
2,22,"Huesca",1,2,2,2,1,4945.7,30.66,423
2,22,"Huesca",2,2,1,3,3,9260.8,0,423
2,22,"Huesca",1,3,1,1,1,11650.4,30.55,371.9
2,22,"Huesca",2,3,1,1,1,5874.5,39.16,371.9
2,22,"Huesca",1,4,1,1,3,15317.6,0,659.3
2,22,"Huesca",2,4,1,1,3,4203.1,0,659.3
2,22,"Huesca",1,4,1,1,3,1214.8,0,537.6
2,22,"Huesca",2,4,1,1,3,14664.7,0,537.6
2,22,"Huesca",1,4,1,1,3,5897.5,0,671
2,22,"Huesca",2,4,2,1,3,5433.4,0,671
2,22,"Huesca",1,4,2,1,3,2199,0,671
2,22,"Huesca",2,4,2,1,3,2645.5,0,671
2,22,"Huesca",2,3,1,2,1,4783.4,29.67,728
2,22,"Huesca",2,4,1,1,3,7122.8,0,728
