price,size_in_m_2,longitude,latitude,no_of_bedrooms,no_of_bathrooms,quality
2700000,100.242337,55.138932,25.113208,1,2,1
2850000,146.972546,55.151201,25.106809,2,2,1
1150000,181.253753,55.137728,25.063302,3,5,1
2850000,187.66406,55.341761,25.227295,2,3,0
1729200,47.101821,55.139764,25.114275,0,1,1
3119900,94.296545,55.139764,25.114275,1,2,1
8503600,191.565986,55.139764,25.114275,2,3,2
3119900,94.296545,55.139764,25.114275,1,2,1
2100000,203.085958,55.149275,25.106668,3,3,0
2690000,141.305463,55.282665,25.194935,2,3,1
3550000,178.187954,55.271342,25.198796,3,4,0
2094999,98.291374,55.137997,25.075017000000003,2,3,0
1049999,56.577927,55.137997,25.075017000000003,1,2,0
1849000,99.499113,55.151574,25.132519,1,1,1
2089999,97.641053,55.152216,25.132445,1,1,1
2349990,103.029427,55.151405,25.132021,1,1,1
3499000,151.710599,55.151405,25.132021,2,2,1
2700000,125.233244,55.270758,25.198316,2,3,1
1490000,108.417801,55.271023,25.19702,2,2,1
950000,83.055282,55.263892000000006,25.180301,1,2,1
1100000,91.509455,55.132386,25.072396,2,2,1
1390000,121.424221,55.13904599999999,25.079783,2,4,0
3999900,215.813669,55.274196,25.197316,3,4,1
3349000,365.10879,55.145075,25.08377,3,4,0
8470000,486.068496,55.151405,25.132021,3,3,1
2499000,231.32847,55.141679,25.084331,3,4,1
2800000,159.049936,55.271884,25.194282,2,3,1
8500000,471.854337,55.138542,25.074958,4,4,1
1875000,143.349329,55.270677,25.191719,2,3,0
1275000,87.143014,55.277388,25.190044,1,2,0
1465777,92.810097,55.294217,25.233787,1,2,1
1260000,152.918338,55.151201,25.106809,2,3,0
1386795,100.706852,55.296535,25.158305,2,3,1
4500000,283.168344,55.341761,25.227295,2,3,1
750000,73.950788,55.241403000000005,25.06031,1,1,2
991000,107.953286,55.241403000000005,25.06031,2,2,2
3599999,182.647298,55.126352,25.07359,3,3,0
2625000,165.924758,55.137997,25.075017000000003,3,4,0
1270000,83.6127,55.343457,25.204631,1,2,1
1398000,108.510704,55.345142,25.206345,1,2,0
1795000,93.088806,55.133386,25.074439,1,2,1
1600000,113.434563,55.278378,25.190275,2,3,0
1050000,51.003747,55.13750600000001,25.114333,0,1,0
1150000,105.259099,55.172015,25.091487,2,2,0
1800000,110.647473,55.264588,25.200221,1,2,1
1349999,172.892483,55.15156,25.02985,3,4,1
1800000,146.972546,55.34511,25.20573,2,3,0
2353146,108.510704,55.2763,25.185337,2,3,1
2800000,294.688316,55.147796,25.089393,4,5,0
365000,41.899253,55.25101,25.016736,0,1,1
1980000,86.864305,55.151574,25.132519,1,1,1
2300000,71.999825,55.14736,25.086376,1,2,1
2200000,118.637131,55.147768000000006,25.086575,2,3,1
1270000,91.137843,55.343457,25.204631,1,2,0
2650000,158.213809,55.128089,25.072954,2,2,0
375000,41.80635,55.137452,25.065736,0,1,1
1150000,126.998401,55.206417,25.029767,2,3,0
2400000,182.554395,55.25658000000001,25.183133,3,4,1
1700000,126.162274,55.25658000000001,25.183133,2,3,1
1709847,126.998401,55.25658000000001,25.183133,2,3,1
12000000,244.427793,55.235827,25.215192,3,5,1
1850000,185.155679,55.247980000000005,25.109367,3,4,1
2090000,126.812595,55.188957,25.137409,2,3,0
1425000,142.60610499999999,55.288017,25.145181,2,3,0
1595000,125.41905,55.133230000000005,25.070605,2,2,0
975000,58.250181,55.14736,25.086376,1,1,1
3400000,155.333816,55.128089,25.072954,2,3,1
2050000,204.107891,55.26418,25.189124,3,4,0
995000,155.14801,55.249375,25.046147,2,1,0
1300000,109.811346,55.247980000000005,25.109367,2,3,1
1100000,155.14801,55.249375,25.046147,2,3,1
750000,79.060453,55.252762,25.019361,1,2,0
1999999,163.044765,55.278772,25.212018,2,2,1
2990000,176.794409,55.280919,25.19331,3,4,0
2400000,159.514451,55.142382,25.108728,2,3,1
2600000,126.34808,55.282665,25.194935,2,3,0
2000000,137.217731,55.141064,25.083121,2,3,1
1800000,150.688666,55.277512,25.186457,2,3,0
930000,71.906922,55.269631,25.196593,1,2,0
3200000,146.043516,55.152216,25.132445,2,3,1
714000,68.004996,55.203684,25.066791,1,1,2
1075000,120.7739,55.132386,25.072396,3,3,1
2299900,105.259099,55.274196,25.197316,1,2,1
1200000,109.62554,55.146759,25.088431,2,2,1
1525000,133.78032,55.145075,25.08377,2,3,0
2700000,156.541555,55.262161,25.204462,2,2,1
815000,72.371437,55.136283,25.07851,1,1,0
